"Time (s) Run #1","Position (m) Run #1","Force (N) Run #1"
6.700,0.00382,115
6.725,0.00384,115
6.750,0.00386,116
6.775,0.00387,117
6.800,0.00389,116
6.825,0.00391,115
6.850,0.00392,114
6.875,0.00394,114
6.900,0.00396,115
6.925,0.00398,115
6.950,0.00400,114
6.975,0.00402,115
7.000,0.00404,117
7.025,0.00406,116
7.050,0.00408,116
7.075,0.00410,115
7.100,0.00412,117
7.125,0.00415,115
7.150,0.00417,115
7.175,0.00419,115
7.200,0.00421,115
7.225,0.00423,115
7.250,0.00425,115
7.275,0.00427,114
7.300,0.00429,113
7.325,0.00431,113
7.350,0.00433,113
7.375,0.00435,113
7.400,0.00437,111
7.425,0.00439,110
7.450,0.00440,110
7.475,0.00442,109
7.500,0.00443,106
7.525,0.00445,105
7.550,0.00446,103
7.575,0.00448,102
7.600,0.00450,101
7.625,0.00451,98
7.650,0.00453,98
7.675,0.00454,97
7.700,0.00456,98
7.725,0.00458,97
7.750,0.00460,97
7.775,0.00461,96
7.800,0.00463,96
7.825,0.00465,96
7.850,0.00467,94
7.875,0.00469,94
7.900,0.00471,94
7.925,0.00473,91
7.950,0.00475,88
7.975,0.00477,84
8.000,0.00479,77
8.025,0.00481,1
8.050,0.00483,-1
8.075,0.00486,0
8.100,0.00489,0
8.125,0.00491,-1
8.150,0.00493,0
8.175,0.00495,0
8.200,0.00498,0
8.225,0.00500,-1
8.250,0.00502,0
8.275,0.00504,0
8.300,0.00505,0
8.325,0.00506,-1
8.350,0.00507,0
8.375,0.00508,0
8.400,0.00508,0
8.425,0.00508,-1
8.450,0.00508,0
8.475,0.00508,0
8.500,0.00508,1
8.525,0.00508,1
8.550,0.00508,1
8.575,0.00508,0
8.600,0.00508,0
8.625,0.00508,0
8.650,0.00508,0
8.675,0.00508,1
8.700,0.00508,0
8.725,0.00508,0
8.750,0.00508,0
8.775,0.00508,0
8.800,0.00508,1
8.825,0.00508,-1
8.850,0.00508,0
8.875,0.00508,1
8.900,0.00508,0
8.925,0.00508,0
8.950,0.00508,-1
8.975,0.00508,1
9.000,0.00508,0
9.025,0.00508,-1
9.050,0.00508,-1
9.075,0.00508,0
9.100,0.00508,-1
9.125,0.00508,-1
9.150,0.00508,0
9.175,0.00508,-1
9.200,0.00508,0
9.225,0.00508,-1
9.250,0.00508,-1
9.275,0.00508,-1
9.300,0.00508,1
9.325,0.00508,1
9.350,0.00508,0
9.375,0.00508,0
9.400,0.00508,0
9.425,0.00508,1
9.450,0.00508,0
9.475,0.00508,0
9.500,0.00508,0
9.525,0.00508,1
9.550,0.00508,0
9.575,0.00508,1
9.600,0.00508,0
9.625,0.00508,1
9.650,0.00508,0
9.675,0.00508,1
9.700,0.00508,0
9.725,0.00508,0
9.750,0.00508,-1
9.775,0.00508,0
9.800,0.00508,0
9.825,0.00508,0
9.850,0.00508,0
9.875,0.00508,-1
9.900,0.00508,1
9.925,0.00508,0
9.950,0.00508,0
9.975,0.00508,0
10.000,0.00508,-1
10.025,0.00508,0
10.050,0.00508,0
10.075,0.00508,0
10.100,0.00508,0
10.125,0.00508,1
10.150,0.00508,1
10.175,0.00508,-1
10.200,0.00508,0
